Unnamed: 0	word	freq_full_wiki	freq_3_4_wiki	freq_half_wiki	freq_1_5_wiki	freq_1_10_wiki
0	If	9.256287128936077e-05	9.261752885990686e-05	9.312419927587298e-05	9.383907778502311e-05	9.391896535327528e-05
1	you	0.00011426133041951789	0.00011421691033511067	0.00011473170688247558	0.00011471065267016824	0.00011370853735660657
2	were	0.0027575525032948168	0.002757239805366583	0.0027610565803427127	0.002756519484798238	0.0027404667739331836
3	to	0.01766455001117467	0.017664912414372732	0.017683733313569903	0.017681915016333802	0.01767279145689309
4	journey	2.104573810763412e-05	2.1075030755877402e-05	2.0977293999176518e-05	2.1271308499440905e-05	2.129372149828357e-05
5	to	0.01766455001117467	0.017664912414372732	0.017683733313569903	0.017681915016333802	0.01767279145689309
6	the	0.05445667808935013	0.05444927453404652	0.054473082860675	0.05450539813086786	0.05447890998585515
7	North	0.00042276553584253394	0.0004228407180215314	0.00042333810507172963	0.00042347908044821606	0.0004211360362777102
8	of	0.03311341948444819	0.03311837652957768	0.033118991934775376	0.03313089710943323	0.03308533361895389
9	England,	4.494777567005395e-05	4.490505176657634e-05	4.524083975107026e-05	4.4504213001292934e-05	4.4507977222954696e-05
10	you	0.00011426133041951789	0.00011421691033511067	0.00011473170688247558	0.00011471065267016824	0.00011370853735660657
11	would	0.0008501568771925135	0.0008507723657729164	0.0008510735432919041	0.0008531459727725672	0.0008474171676089695
12	come	9.297082192843764e-05	9.297468906298904e-05	9.337074862382414e-05	9.261247584760745e-05	9.29893622319314e-05
13	to	0.01766455001117467	0.017664912414372732	0.017683733313569903	0.017681915016333802	0.01767279145689309
14	a	0.01724727358823943	0.017238686195846172	0.017246348976716726	0.017256153585894284	0.01725578053446634
15	valley	2.4609904481608565e-05	2.4488897775229582e-05	2.4527475863277494e-05	2.4396645104761502e-05	2.3898546911215938e-05
16	that	0.004729870974303871	0.004726459561989145	0.004732169693581872	0.004738704992003772	0.004726922127220764
17	is	0.008059469278205972	0.008053676335585623	0.008059446485319794	0.00807472538949459	0.008078412513909228
18	surrounded	2.73507522930824e-05	2.7413657320324835e-05	2.731290413634457e-05	2.7610632310026724e-05	2.7658920648596623e-05
19	by	0.0066234798037491174	0.006624212464545876	0.006620814946725273	0.00661440017489764	0.006614813727336966
20	moors	3.134608863104561e-07	3.0730390517900155e-07	2.9611671033299164e-07	2.5789265438437104e-07	2.582230892621928e-07
21	as	0.007113002511166442	0.007107547353137826	0.007111602644823046	0.007105226310209245	0.007102829543733584
22	high	0.0002889870728720811	0.00028878572887334775	0.00028933370647042916	0.0002906079494221184	0.00028767343259254583
23	as	0.007113002511166442	0.007107547353137826	0.007111602644823046	0.007105226310209245	0.007102829543733584
24	mountains.	4.049837253381387e-06	4.107557233280724e-06	4.113447345712645e-06	4.127894299239839e-06	4.025052403874429e-06
25	It	0.001603516581205485	0.0016030308358675333	0.0016037468600081763	0.0016048901656702894	0.0016083263725264886
26	is	0.008059469278205972	0.008053676335585623	0.008059446485319794	0.00807472538949459	0.008078412513909228
27	in	0.024376895331211554	0.02437617999219694	0.02438199114856298	0.024392257705978786	0.02441213649681536
28	this	0.0012686442524200326	0.0012686609780665143	0.0012676788555954321	0.0012698747129922723	0.0012634629812395986
29	valley	2.4609904481608565e-05	2.4488897775229582e-05	2.4527475863277494e-05	2.4396645104761502e-05	2.3898546911215938e-05
30	where	0.0007852627339512786	0.0007852487262536796	0.0007858100640664918	0.0007863936828433525	0.000787738583891861
31	you	0.00011426133041951789	0.00011421691033511067	0.00011473170688247558	0.00011471065267016824	0.00011370853735660657
32	would	0.0008501568771925135	0.0008507723657729164	0.0008510735432919041	0.0008531459727725672	0.0008474171676089695
33	find	9.649177455882608e-05	9.655445721157071e-05	9.6503792165543e-05	9.644701725248506e-05	9.653992970928654e-05
34	the	0.05445667808935013	0.05444927453404652	0.054473082860675	0.05450539813086786	0.05447890998585515
35	city	0.0003165651810549257	0.0003171320428009991	0.0003175697222646379	0.00031815894405581873	0.0003195898064253529
36	of	0.03311341948444819	0.03311837652957768	0.033118991934775376	0.03313089710943323	0.03308533361895389
37	Bradford,	2.156817291815155e-06	2.1588636583414333e-06	2.150064809809113e-06	2.213041340435884e-06	2.175529527033974e-06
38	where	0.0007852627339512786	0.0007852487262536796	0.0007858100640664918	0.0007863936828433525	0.000787738583891861
39	once	0.00013370009774887526	0.00013361702735884462	0.0001332280578346448	0.0001327679739643439	0.0001329784353927977
40	a	0.01724727358823943	0.017238686195846172	0.017246348976716726	0.017256153585894284	0.01725578053446634
