	text_id	word_id	ref_token	time	nItem	centered_time	word_len	word	surprisal	surprisal_buggy	freq	prev_word	prev2_word	prev3_word	prev_surprisal	prev2_surprisal	prev3_surprisal	prev_surprisal_buggy	prev2_surprisal_buggy	prev3_surprisal_buggy	prev_freq	prev2_freq	prev3_freq	prev_word_len	prev2_word_len	prev3_word_len
0	1	0	If	359.3855421686747	84.0	32.6136474475413	2.0	If	5.945045626722276	5.9526205	7.731882572174072															
1	1	1	you	358.1279069767442	87.0	23.88911420329662	3.0	you	0.9897536933422088	0.6687946	8.02623176574707	If			5.945045626722276			5.9526205			7.731882572174072			2.0		
2	1	2	were	324.64367816091954	88.0	-9.3007134423175	4.0	were	3.4304962798487395	3.7559125	5.851211071014404	you	If		0.9897536933422088	5.945045626722276		0.6687946	5.9526205		8.02623176574707	7.731882572174072		3.0	2.0	
3	1	3	to	317.6547619047619	86.0	-11.201084992652078	2.0	to	1.3889164122520017	1.3906	4.020755767822266	were	you	If	3.4304962798487395	0.9897536933422088	5.945045626722276	3.7559125	0.6687946	5.9526205	5.851211071014404	8.02623176574707	7.731882572174072	4.0	3.0	2.0
4	1	4	journey	334.47727272727275	89.0	3.1523111033333993	7.0	journey	9.2128458279185	9.208994	10.055468559265137	to	were	you	1.3889164122520017	3.4304962798487395	0.9897536933422088	1.3906	3.7559125	0.6687946	4.020755767822266	5.851211071014404	8.02623176574707	2.0	4.0	3.0
5	1	5	to	320.6279069767442	89.0	-11.359311567392009	2.0	to	1.1013008425943551	1.1047395	4.020755767822266	journey	to	were	9.2128458279185	1.3889164122520017	3.4304962798487395	9.208994	1.3906	3.7559125	10.055468559265137	4.020755767822266	5.851211071014404	7.0	2.0	4.0
6	1	6	the	314.8255813953488	87.0	-14.63997521657803	3.0	the	0.7301094544818625	0.7302452	2.7637033462524414	to	journey	to	1.1013008425943551	9.2128458279185	1.3889164122520017	1.1047395	9.208994	1.3906	4.020755767822266	10.055468559265137	4.020755767822266	2.0	7.0	2.0
7	1	7	North	313.13953488372096	89.0	-18.35678350808175	5.0	North	4.663051433861256	4.5979805	7.252773284912109	the	to	journey	0.7301094544818625	1.1013008425943551	9.2128458279185	0.7302452	1.1047395	9.208994	2.7637033462524414	4.020755767822266	10.055468559265137	3.0	2.0	7.0
8	1	8	of	315.45238095238096	87.0	-15.814218627616894	2.0	of	2.832541578565724	2.8978195	3.4530773162841797	North	the	to	4.663051433861256	0.7301094544818625	1.1013008425943551	4.5979805	0.7302452	1.1047395	7.252773284912109	2.7637033462524414	4.020755767822266	5.0	3.0	2.0
9	1	9	England,	354.1860465116279	89.0	23.21230975045856	8.0	England,	2.3766904826043174	2.376328	8.241907119750977	of	North	the	2.832541578565724	4.663051433861256	0.7301094544818625	2.8978195	4.5979805	0.7302452	3.4530773162841797	7.252773284912109	2.7637033462524414	2.0	5.0	3.0
10	1	10	you	339.8941176470588	88.0	11.505895492205017	3.0	you	1.1822784841060638	0.7748917	8.02623176574707	England,	of	North	2.3766904826043174	2.832541578565724	4.663051433861256	2.376328	2.8978195	4.5979805	8.241907119750977	3.4530773162841797	7.252773284912109	8.0	2.0	5.0
11	1	11	would	339.3837209302326	87.0	8.177720811390182	5.0	would	0.550617472268641	0.95381355	7.081531047821045	you	England,	of	1.1822784841060638	2.3766904826043174	2.832541578565724	0.7748917	2.376328	2.8978195	8.02623176574707	8.241907119750977	3.4530773162841797	3.0	8.0	2.0
12	1	12	come	319.08045977011494	87.0	-14.389117952831654	4.0	come	3.7883418172132224	3.7921553	8.928882598876953	would	you	England,	0.550617472268641	1.1822784841060638	2.3766904826043174	0.95381355	0.7748917	2.376328	7.081531047821045	8.02623176574707	8.241907119750977	5.0	3.0	8.0
13	1	13	to	325.83720930232556	87.0	-8.43112728031256	2.0	to	1.4122288231737912	1.4112695	4.020755767822266	come	would	you	3.7883418172132224	0.550617472268641	1.1822784841060638	3.7921553	0.95381355	0.7748917	8.928882598876953	7.081531047821045	8.02623176574707	4.0	5.0	3.0
14	1	14	a	319.5542168674699	85.0	-12.629378412424458	1.0	a	1.096117103705183	1.0982646	3.9862823486328125	to	come	would	1.4122288231737912	3.7883418172132224	0.550617472268641	1.4112695	3.7921553	0.95381355	4.020755767822266	8.928882598876953	7.081531047821045	2.0	4.0	5.0
15	1	15	valley	317.21176470588233	86.0	-18.677096149232117	6.0	valley	6.909243524074554	6.6325555	8.714256286621094	a	to	come	1.096117103705183	1.4122288231737912	3.7883418172132224	1.0982646	1.4112695	3.7921553	3.9862823486328125	4.020755767822266	8.928882598876953	1.0	2.0	4.0
16	1	16	that	293.32142857142856	86.0	-43.094063053563865	4.0	that	2.241630844771862	2.4804866	5.288764953613281	valley	a	to	6.909243524074554	1.096117103705183	1.4122288231737912	6.6325555	1.0982646	1.4112695	8.714256286621094	3.9862823486328125	4.020755767822266	6.0	1.0	2.0
17	1	17	is	311.4404761904762	87.0	-21.37380910486437	2.0	is	1.2381328362971544	1.2689186	4.873861312866211	that	valley	a	2.241630844771862	6.909243524074554	1.096117103705183	2.4804866	6.6325555	1.0982646	5.288764953613281	8.714256286621094	3.9862823486328125	4.0	6.0	1.0
18	1	18	surrounded	337.04651162790697	86.0	3.90079772245439	10.0	surrounded	3.745301231276244	3.7506492	10.22230339050293	is	that	valley	1.2381328362971544	2.241630844771862	6.909243524074554	1.2689186	2.4804866	6.6325555	4.873861312866211	5.288764953613281	8.714256286621094	2.0	4.0	6.0
19	1	19	by	331.6341463414634	85.0	-0.24493441448788783	2.0	by	0.1664302500430494	0.167212	5.016783714294434	surrounded	is	that	3.745301231276244	1.2381328362971544	2.241630844771862	3.7506492	1.2689186	2.4804866	10.22230339050293	4.873861312866211	5.288764953613281	10.0	2.0	4.0
20	1	20	moors	363.144578313253	86.0	31.693040355793965	5.0	moors	5.901967605110258	5.026631	13.0925931930542	by	surrounded	is	0.1664302500430494	3.745301231276244	1.2381328362971544	0.167212	3.7506492	1.2689186	5.016783714294434	10.22230339050293	4.873861312866211	2.0	10.0	2.0
21	1	21	as	371.54761904761904	87.0	38.62001739665048	2.0	as	5.941101447911933	6.816783	4.889190673828125	moors	by	surrounded	5.901967605110258	0.1664302500430494	3.745301231276244	5.026631	0.167212	3.7506492	13.0925931930542	5.016783714294434	10.22230339050293	5.0	2.0	10.0
22	1	22	high	350.26506024096386	86.0	20.656055865880763	4.0	high	4.232046055607498	4.2263184	7.331916809082031	as	moors	by	5.941101447911933	5.901967605110258	0.1664302500430494	6.816783	5.026631	0.167212	4.889190673828125	13.0925931930542	5.016783714294434	2.0	5.0	2.0
23	1	23	as	358.6363636363636	83.0	29.73858856338179	2.0	as	0.0900061361026018	0.09377958	4.889190673828125	high	as	moors	4.232046055607498	5.941101447911933	5.901967605110258	4.2263184	6.816783	5.026631	7.331916809082031	4.889190673828125	13.0925931930542	4.0	2.0	5.0
24	1	24	mountains.	393.1898734177215	84.0	63.734202054177985	10.0	mountains.	3.003357280045748	2.96388	9.579924583435059	as	high	as	0.0900061361026018	4.232046055607498	5.941101447911933	0.09377958	4.2263184	6.816783	4.889190673828125	7.331916809082031	4.889190673828125	2.0	4.0	2.0
25	1	25	It	354.14814814814815	84.0	21.504732380448687	2.0	It	2.238526478409767	2.1427488	5.568137168884277	mountains.	as	high	3.003357280045748	0.0900061361026018	4.232046055607498	2.96388	0.09377958	4.2263184	9.579924583435059	4.889190673828125	7.331916809082031	10.0	2.0	4.0
26	1	26	is	314.0595238095238	85.0	-19.59505541620956	2.0	is	0.2741532120853662	0.409038	4.873861312866211	It	mountains.	as	2.238526478409767	3.003357280045748	0.0900061361026018	2.1427488	2.96388	0.09377958	5.568137168884277	9.579924583435059	4.889190673828125	2.0	10.0	2.0
27	1	27	in	318.2674418604651	86.0	-16.493158322421564	2.0	in	3.75721396622248	3.7595387	3.6719303131103516	is	It	mountains.	0.2741532120853662	2.238526478409767	3.003357280045748	0.409038	2.1427488	2.96388	4.873861312866211	5.568137168884277	9.579924583435059	2.0	2.0	10.0
28	1	28	this	307.7469879518072	85.0	-23.58700850928475	4.0	this	0.4629159880569204	0.4629792	6.113838195800781	in	is	It	3.75721396622248	0.2741532120853662	2.238526478409767	3.7595387	0.409038	2.1427488	3.6719303131103516	4.873861312866211	5.568137168884277	2.0	2.0	2.0
29	1	29	valley	334.7317073170732	85.0	2.288013695093395	6.0	valley	0.548838697373867	0.43689013	8.714256286621094	this	in	is	0.4629159880569204	3.75721396622248	0.2741532120853662	0.4629792	3.7595387	0.409038	6.113838195800781	3.6719303131103516	4.873861312866211	4.0	2.0	2.0
30	1	30	where	320.65060240963857	85.0	-10.683394051453424	5.0	where	2.795272719115019	2.8868	7.105757713317871	valley	this	in	0.548838697373867	0.4629159880569204	3.75721396622248	0.43689013	0.4629792	3.7595387	8.714256286621094	6.113838195800781	3.6719303131103516	6.0	4.0	2.0
31	1	31	you	317.67469879518075	87.0	-7.783472594497451	3.0	you	2.376359278336168	2.3682473	8.02623176574707	where	valley	this	2.795272719115019	0.548838697373867	0.4629159880569204	2.8868	0.43689013	0.4629792	7.105757713317871	8.714256286621094	6.113838195800781	5.0	6.0	4.0
32	1	32	would	314.4235294117647	86.0	-17.591906980175235	5.0	would	0.9952532139723188	1.0243206	7.081531047821045	you	where	valley	2.376359278336168	2.795272719115019	0.548838697373867	2.3682473	2.8868	0.43689013	8.02623176574707	7.105757713317871	8.714256286621094	3.0	5.0	6.0
33	1	33	find	305.32941176470587	85.0	-27.45384642478682	4.0	find	0.2238662014715373	0.21890226	9.137584686279297	would	you	where	0.9952532139723188	2.376359278336168	2.795272719115019	1.0243206	2.3682473	2.8868	7.081531047821045	8.02623176574707	7.105757713317871	5.0	3.0	5.0
34	1	34	the	315.1829268292683	84.0	-19.05557864330968	3.0	the	0.8494435372995213	0.8537414	2.7637033462524414	find	would	you	0.2238662014715373	0.9952532139723188	2.376359278336168	0.21890226	1.0243206	2.3682473	9.137584686279297	7.081531047821045	8.02623176574707	4.0	5.0	3.0
35	1	35	city	310.5348837209302	87.0	-22.610830184522356	4.0	city	4.632720220601186	4.630445	6.969664573669434	the	find	would	0.8494435372995213	0.2238662014715373	0.9952532139723188	0.8537414	0.21890226	1.0243206	2.7637033462524414	9.137584686279297	7.081531047821045	3.0	4.0	5.0
36	1	36	of	316.125	87.0	-6.057185385522165	2.0	of	0.0353963454253971	0.037544154	3.4530773162841797	city	the	find	4.632720220601186	0.8494435372995213	0.2238662014715373	4.630445	0.8537414	0.21890226	6.969664573669434	2.7637033462524414	9.137584686279297	4.0	3.0	4.0
37	1	37	Bradford,	396.5679012345679	85.0	67.27066834173378	9.0	Bradford,	6.274451530887745	6.2748437	11.229596138000488	of	city	the	0.0353963454253971	4.632720220601186	0.8494435372995213	0.037544154	4.630445	0.8537414	3.4530773162841797	6.969664573669434	2.7637033462524414	2.0	4.0	3.0
38	1	38	where	377.3095238095238	84.0	44.437793571085855	5.0	where	3.574708556756377	3.5633605	7.105757713317871	Bradford,	of	city	6.274451530887745	0.0353963454253971	4.632720220601186	6.2748437	0.037544154	4.630445	11.229596138000488	3.4530773162841797	6.969664573669434	9.0	2.0	4.0
39	1	39	once	346.54651162790697	87.0	14.070533567277893	4.0	once	5.656775744631887	5.6412935	8.527612686157227	where	Bradford,	of	3.574708556756377	6.274451530887745	0.0353963454253971	3.5633605	6.2748437	0.037544154	7.105757713317871	11.229596138000488	3.4530773162841797	5.0	9.0	2.0
40	1	40	a	368.9647058823529	87.0	36.718310561636315	1.0	a	2.763267495087348	2.789505	3.9862823486328125	once	where	Bradford,	5.656775744631887	3.574708556756377	6.274451530887745	5.6412935	3.5633605	6.2748437	8.527612686157227	7.105757713317871	11.229596138000488	4.0	5.0	9.0
